id,sport_key,sport_title,commence_time,home_team,away_team,bookmakers,snapshot_time_pacific,snapshot_time_utc
37ad3adb35ed4728a96f52ce3ef3be12,basketball_nba,NBA,2026-01-13T00:12:00Z,Cleveland Cavaliers,Utah Jazz,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 2.06, 'point': -10.5}, {'name': 'Utah Jazz', 'price': 1.71, 'point': 10.5}]}]}, {'key': 'fliff', 'title': 'Fliff', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.87, 'point': -8.5}, {'name': 'Utah Jazz', 'price': 1.83, 'point': 8.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.95, 'point': -9.5}, {'name': 'Utah Jazz', 'price': 1.8, 'point': 9.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.85, 'point': -8.5}, {'name': 'Utah Jazz', 'price': 1.87, 'point': 8.5}]}]}, {'key': 'betparx', 'title': 'betPARX', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.85, 'point': -8.5}, {'name': 'Utah Jazz', 'price': 1.88, 'point': 8.5}]}]}, {'key': 'ballybet', 'title': 'Bally Bet', 'last_update': '2026-01-13T01:29:13Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:13Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.83, 'point': -8.5}, {'name': 'Utah Jazz', 'price': 1.85, 'point': 8.5}]}]}, {'key': 'espnbet', 'title': 'theScore Bet', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.87, 'point': -8.5}, {'name': 'Utah Jazz', 'price': 1.87, 'point': 8.5}]}]}, {'key': 'hardrockbet', 'title': 'Hard Rock Bet', 'last_update': '2026-01-13T01:29:12Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:12Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.95, 'point': -9.5}, {'name': 'Utah Jazz', 'price': 1.8, 'point': 9.5}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-01-13T01:29:49Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:49Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.8, 'point': -9.5}, {'name': 'Utah Jazz', 'price': 1.95, 'point': 9.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Cleveland Cavaliers', 'price': 1.8, 'point': -8.5}, {'name': 'Utah Jazz', 'price': 1.95, 'point': 8.5}]}]}]",2026-01-12T17:30:00.867358-08:00,2026-01-13T01:30:00Z
dbad91dbabd7e090fe6d6ad58912cd58,basketball_nba,NBA,2026-01-13T00:42:00Z,Indiana Pacers,Boston Celtics,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 2.08, 'point': -3.5}, {'name': 'Indiana Pacers', 'price': 1.69, 'point': 3.5}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-01-13T01:29:49Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:49Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 2.25, 'point': -4.5}, {'name': 'Indiana Pacers', 'price': 1.6, 'point': 4.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.87, 'point': -2.5}, {'name': 'Indiana Pacers', 'price': 1.87, 'point': 2.5}]}]}, {'key': 'fliff', 'title': 'Fliff', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.87, 'point': -2.5}, {'name': 'Indiana Pacers', 'price': 1.83, 'point': 2.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.83, 'point': -3.0}, {'name': 'Indiana Pacers', 'price': 1.88, 'point': 3.0}]}]}, {'key': 'betparx', 'title': 'betPARX', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.83, 'point': -3.0}, {'name': 'Indiana Pacers', 'price': 1.89, 'point': 3.0}]}]}, {'key': 'ballybet', 'title': 'Bally Bet', 'last_update': '2026-01-13T01:29:13Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:13Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.83, 'point': -3.0}, {'name': 'Indiana Pacers', 'price': 1.85, 'point': 3.0}]}]}, {'key': 'espnbet', 'title': 'theScore Bet', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.83, 'point': -1.5}, {'name': 'Indiana Pacers', 'price': 1.91, 'point': 1.5}]}]}, {'key': 'hardrockbet', 'title': 'Hard Rock Bet', 'last_update': '2026-01-13T01:29:12Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:12Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.91, 'point': -3.5}, {'name': 'Indiana Pacers', 'price': 1.83, 'point': 3.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Boston Celtics', 'price': 1.85, 'point': -3.5}, {'name': 'Indiana Pacers', 'price': 1.91, 'point': 3.5}]}]}]",2026-01-12T17:30:00.867358-08:00,2026-01-13T01:30:00Z
da3e1c4e31d6ac7036e05f00a60ad5f2,basketball_nba,NBA,2026-01-13T00:42:00Z,Toronto Raptors,Philadelphia 76ers,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.76, 'point': -16.5}, {'name': 'Toronto Raptors', 'price': 2.0, 'point': 16.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.91, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.83, 'point': 18.5}]}]}, {'key': 'fliff', 'title': 'Fliff', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.83, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.87, 'point': 18.5}]}]}, {'key': 'espnbet', 'title': 'theScore Bet', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.83, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.91, 'point': 18.5}]}]}, {'key': 'hardrockbet', 'title': 'Hard Rock Bet', 'last_update': '2026-01-13T01:29:12Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:12Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.91, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.83, 'point': 18.5}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-01-13T01:29:49Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:49Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.65, 'point': -16.5}, {'name': 'Toronto Raptors', 'price': 2.2, 'point': 16.5}]}]}, {'key': 'ballybet', 'title': 'Bally Bet', 'last_update': '2026-01-13T01:29:13Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:13Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.83, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.85, 'point': 18.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.85, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.87, 'point': 18.5}]}]}, {'key': 'betparx', 'title': 'betPARX', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.85, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.88, 'point': 18.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Philadelphia 76ers', 'price': 1.85, 'point': -18.5}, {'name': 'Toronto Raptors', 'price': 1.91, 'point': 18.5}]}]}]",2026-01-12T17:30:00.867358-08:00,2026-01-13T01:30:00Z
f0e102ee7c0722665cde7d3a4a4dfe1c,basketball_nba,NBA,2026-01-13T01:40:00Z,Dallas Mavericks,Brooklyn Nets,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.87, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.95, 'point': -3.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.87, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.95, 'point': -3.5}]}]}, {'key': 'fliff', 'title': 'Fliff', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.87, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -3.5}]}]}, {'key': 'betonlineag', 'title': 'BetOnline.ag', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.91, 'point': 3.0}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -3.0}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:24Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.94, 'point': 3.0}, {'name': 'Dallas Mavericks', 'price': 1.94, 'point': -3.0}]}]}, {'key': 'betparx', 'title': 'betPARX', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.88, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.93, 'point': -3.5}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.85, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.92, 'point': -3.5}]}]}, {'key': 'ballybet', 'title': 'Bally Bet', 'last_update': '2026-01-13T01:29:13Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:13Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.88, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.93, 'point': -3.5}]}]}, {'key': 'espnbet', 'title': 'theScore Bet', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.87, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.95, 'point': -3.5}]}]}, {'key': 'hardrockbet', 'title': 'Hard Rock Bet', 'last_update': '2026-01-13T01:29:12Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:12Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.91, 'point': 4.0}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -4.0}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-01-13T01:29:49Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:49Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.91, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -3.5}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-01-13T01:27:05Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:27:05Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.91, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -3.5}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.91, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -3.5}]}]}, {'key': 'betanysports', 'title': 'BetAnything', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.91, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.91, 'point': -3.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Brooklyn Nets', 'price': 1.87, 'point': 3.5}, {'name': 'Dallas Mavericks', 'price': 1.95, 'point': -3.5}]}]}]",2026-01-12T17:30:00.867358-08:00,2026-01-13T01:30:00Z
09fb007ac62ac7d2e08db4357be2417c,basketball_nba,NBA,2026-01-13T03:10:00Z,Sacramento Kings,Los Angeles Lakers,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.94, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.88, 'point': 9.5}]}]}, {'key': 'betonlineag', 'title': 'BetOnline.ag', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:24Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.94, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.94, 'point': 9.5}]}]}, {'key': 'fliff', 'title': 'Fliff', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.93, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.89, 'point': 9.5}]}]}, {'key': 'betparx', 'title': 'betPARX', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.88, 'point': -9.0}, {'name': 'Sacramento Kings', 'price': 1.93, 'point': 9.0}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.87, 'point': -9.0}, {'name': 'Sacramento Kings', 'price': 1.92, 'point': 9.0}]}]}, {'key': 'ballybet', 'title': 'Bally Bet', 'last_update': '2026-01-13T01:29:13Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:13Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.88, 'point': -9.0}, {'name': 'Sacramento Kings', 'price': 1.93, 'point': 9.0}]}]}, {'key': 'espnbet', 'title': 'theScore Bet', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}, {'key': 'hardrockbet', 'title': 'Hard Rock Bet', 'last_update': '2026-01-13T01:29:12Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:12Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}, {'key': 'betanysports', 'title': 'BetAnything', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.95, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.87, 'point': 9.5}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-01-13T01:29:49Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:49Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.0}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.0}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-01-13T01:27:05Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:27:05Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}, {'key': 'betmgm', 'title': 'BetMGM', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Los Angeles Lakers', 'price': 1.91, 'point': -9.5}, {'name': 'Sacramento Kings', 'price': 1.91, 'point': 9.5}]}]}]",2026-01-12T17:30:00.867358-08:00,2026-01-13T01:30:00Z
2532e809417a1fed704519de12ef68c0,basketball_nba,NBA,2026-01-13T03:40:00Z,Los Angeles Clippers,Charlotte Hornets,"[{'key': 'fanduel', 'title': 'FanDuel', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.89, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.93, 'point': -5.0}]}]}, {'key': 'mybookieag', 'title': 'MyBookie.ag', 'last_update': '2026-01-13T01:29:49Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:49Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.91, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.91, 'point': -5.0}]}]}, {'key': 'draftkings', 'title': 'DraftKings', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.85, 'point': 5.5}, {'name': 'Los Angeles Clippers', 'price': 1.98, 'point': -5.5}]}]}, {'key': 'lowvig', 'title': 'LowVig.ag', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:24Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.94, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.94, 'point': -5.0}]}]}, {'key': 'betonlineag', 'title': 'BetOnline.ag', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.91, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.91, 'point': -5.0}]}]}, {'key': 'fliff', 'title': 'Fliff', 'last_update': '2026-01-13T01:29:10Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:10Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.87, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.95, 'point': -5.0}]}]}, {'key': 'betrivers', 'title': 'BetRivers', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.89, 'point': 4.5}, {'name': 'Los Angeles Clippers', 'price': 1.88, 'point': -4.5}]}]}, {'key': 'ballybet', 'title': 'Bally Bet', 'last_update': '2026-01-13T01:29:13Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:13Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.92, 'point': 4.5}, {'name': 'Los Angeles Clippers', 'price': 1.89, 'point': -4.5}]}]}, {'key': 'betparx', 'title': 'betPARX', 'last_update': '2026-01-13T01:29:24Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.92, 'point': 4.5}, {'name': 'Los Angeles Clippers', 'price': 1.89, 'point': -4.5}]}]}, {'key': 'espnbet', 'title': 'theScore Bet', 'last_update': '2026-01-13T01:29:11Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:11Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 2.0, 'point': 4.5}, {'name': 'Los Angeles Clippers', 'price': 1.83, 'point': -4.5}]}]}, {'key': 'hardrockbet', 'title': 'Hard Rock Bet', 'last_update': '2026-01-13T01:29:12Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:12Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.95, 'point': 4.5}, {'name': 'Los Angeles Clippers', 'price': 1.87, 'point': -4.5}]}]}, {'key': 'bovada', 'title': 'Bovada', 'last_update': '2026-01-13T01:27:05Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:27:05Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.91, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.91, 'point': -5.0}]}]}, {'key': 'betanysports', 'title': 'BetAnything', 'last_update': '2026-01-13T01:29:23Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:23Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.91, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.91, 'point': -5.0}]}]}, {'key': 'betus', 'title': 'BetUS', 'last_update': '2026-01-13T01:29:37Z', 'markets': [{'key': 'spreads', 'last_update': '2026-01-13T01:29:37Z', 'outcomes': [{'name': 'Charlotte Hornets', 'price': 1.91, 'point': 5.0}, {'name': 'Los Angeles Clippers', 'price': 1.91, 'point': -5.0}]}]}]",2026-01-12T17:30:00.867358-08:00,2026-01-13T01:30:00Z
